ID,Category,Severity,Title,Impact,Basis,Status,Note
V110-001,Compatibility-Strategy,High,HELLO handshake is not actually backward compatible with v1.0.0 servers,"A-001 states backward compatibility with v1.0.0 clients/servers, but the detailed design documents that a v1.1.0 client sends HELLO as the first frame and an old server delivers it to the application as a bogus message, making client-first rolling upgrades unsafe.","spec/A001_capability_negotiation.md では後退互換を保証すると明記しているが、docs/design_change_spec_v1.1.0.md では v1.1.0 client -> v1.0.0 server を非サポートと記載している。",Resolved,"A-001 Section 1 目的テーブルの後退互換行を「サーバー先行アップグレード必須」に修正。Section 4.4（非互換フロー図と回避策）を新設。Section 5 の enabled=false 説明に version=0x02 拒否の根拠を追記。✅"
V110-002,Protocol-Format,High,New v1.1.0 specs freeze an undocumented 20-byte/0x02 wire format that conflicts with the canonical protocol spec,"Implementers following the new docs will codify drift instead of versioning the protocol definition. The canonical spec still defines 16-byte header + version 0x01.","spec/02_protocol.md は version=0x01 / 16B を定義しているが、design_change_spec は version=0x02 / 20B を『現行フォーマット』として掲げていた。",Resolved,"spec/02_protocol.md をフレーム図・フィールド表（message_id 追加）・flags ビット表・送受信シーケンス・C++ 構造体・バージョン互換表の全箇所で 20B / version=0x02 に全面更新。✅"
V110-003,API-Contract,Medium,A-002 uses uint32_t message_id even though v1.3.0 plan already commits to 8-byte expansion,"Shipping A-002 as written will force an avoidable public API break one milestone later when F-009 expands message_id from 4 bytes to 8 bytes.","spec/A002_flow_control.md は cancel(message_id: uint32_t) を定義しているが、実装計画 v1.3.0 章では 4B→8B 拡張を明記している。",Resolved,"A-002 Section 5.1 の cancel 契約・C++ シグネチャを uint64_t に変更。v1.3.0 計画と整合。✅"
V110-004,Error-Contract,Medium,Cancellation result contract is internally inconsistent between Interrupted and Cancelled,"The ambiguity will leak directly into user-observable behavior and tests. A-002 says a cancelled Future completes with PipeErrorCode::Interrupted but also reserves PipeErrorCode::Cancelled = 41 for the same operation.","spec/A002_flow_control.md の cancel 事後条件は Interrupted を返すとしているが、同文書のエラーコード拡張では Cancelled=41 を追加している。",Resolved,"A-002 Section 5.1 の事後条件・実装コメントを PipeErrorCode::Cancelled に統一。Interrupted は stop_accept() 専用として区別。✅"
V110-005,Spec-Accuracy,Low,HELLO test vector contains two conflicting CRC-32C values for the same payload,"Leaving both values in the normative spec will cause avoidable test failures for the first golden vector.","spec/A001_capability_negotiation.md の Vector 1 で payload 8 zero bytes の CRC を 0x00000000 と説明した直後に 0xAA36918A と記載している。",Resolved,"ファイル内では 0xAA36918A のみが記載されており自己矛盾行は存在しなかった（既解消）。追加修正なし。✅"
V111-001,Compatibility-Strategy,High,A-001 compatibility goal still promises full two-way backward compatibility even though mixed-version support is now explicitly one-way,"The entry-point goal contradicts the detailed non-support flow for v1.1.0 client -> v1.0.0 server and leaves rollout guidance internally inconsistent.","spec/A001_capability_negotiation.md の目的表が両方向互換を約束しているが、同ファイル内で v1.1.0 client -> v1.0.0 server は常に失敗すると明記している。",Resolved,"Section 1 の後退互換行を一方向サポート（サーバー先行アップグレード必須 / Compat モードで旧クライアントを受け入れ）として修正。HelloMode 設計採用で再整備。✅"
V111-002,Protocol-Compatibility,High,Updated canonical protocol rejects all v1.0.0 frames making the documented legacy-client fallback unimplementable,"spec/02_protocol.md now requires version 0x02 on receive, so a v1.1.0 server cannot accept the first normal frame from a v1.0.0 client, breaking A-001 v1 fallback flow and test T-CN-009.","spec/02_protocol.md が version != 0x02 を拒否するよう更新されたが、A-001 と設計書はまだ旧クライアントの fallback を前提にしていた。",Resolved,"HelloMode::Compat 方式（先頭 5B の version バイトで即時判別し v1.0.0 クライアントを v1-compat モードで受け入れ）を採用。A-001 Section 4.3（後退互換フロー）・Section 4.5（タイムアウト）・design_change_spec Section 8.2/8.3 を全面整合。✅"
V111-003,Spec-Consistency,Medium,Remaining v1.1.0 documents disagree on how an old server handles a HELLO frame,"The different failure modes change the operational risk model for rolling upgrades and leave tests and user guidance ambiguous.","A-001 では旧サーバーが InvalidMessage で即拒否とし、design_change_spec では HELLO をアプリ可視の通常メッセージとして渡すと記載していた。",Resolved,"design_change_spec Section 8.4（旧サーバーへの送信は version=0x02 フレームを InvalidMessage で拒否されて失敗）を修正。A-001 Section 4.4 と整合。✅"
V112-001,Review-Traceability,High,Review records preserved superseded Option B resolution as if it were final,"Any future implementer or reviewer following the old records would work from a wrong design baseline that assumes fallback was removed.","review/whole.md と旧 CSV が HelloMode 導入前の Option B（fallback 削除）を最終解として記録しており、現行 HelloMode 方針と衝突していた。",Closed,"review/whole.md Section 8 を HelloMode 方針を正確に反映した内容へ全面更新。本集約 CSV が v1.1.0 全指摘の正としての最終記録となる。✅"
V112-002,Role-Contract,High,HelloMode authority split between client behavior and server acceptance policy was not fixed,"Implementers could not tell which endpoint has final authority for acceptance and rejection, risking divergent implementations.","A-001 と design_change_spec で Compat/Strict/Skip がクライアント挙動とサーバーポリシーを混在して記述していた。",Closed,"A-001 Section 4.1 原則 5 に「サーバーの HelloMode が最終受け入れポリシーを決定する。クライアントの mode は送信側の振る舞いのみ」を明記。design_change_spec Section 8.0 の注記に同規則を追記。✅"
